fecha_transaccion,encrypt_rut,comuna,marca,detalle,brand_origin,retail,precio_de_lista_synt,margen_retail,margin_pct,loss_making,price_band,year,month,quarter
2018-08-31,3cef3e5183495ea055a0c70d923fa1847dceb54a62248a57c65665713baff167,SAN PEDRO DE LA PAZ,Mazda,NEW MAZDA3 SDN 2.0 6AT,Incumbent,ces,9890595.378556555,846556.1875,0.0855920351706418,0,Premium,2018,8,3
2018-07-19,f2cb411e443ed6c7c827571bc85432f751276553ed26b043f971fa3a6bb18e02,PUERTO MONTT,Suzuki,BALENO 1.4 GLX,Incumbent,ces,6762268.346574254,524115.71875,0.07750590362411683,0,Mid,2018,7,3
2013-02-27,f03e2b5ea9b834fc6216c46538325bf1a49a39d7dad0b2939474a48f0433d1d2,LO BARNECHEA,Mazda,CX-9 GTX AWD AT,Incumbent,propio,17555777.489816766,-1326751.25,-0.0755734829043933,1,Premium,2013,2,1
2021-11-26,689a1a69c1bc43117ee4aeadb4f840153b779b20f32938000dac9526bc906077,SAN MIGUEL,Changan,NEW CS15 ELITE MT,Chinese,ces,8490730.826267442,533739.75,0.0628614616245742,0,Premium,2021,11,4
2018-11-27,d3c75ca5d0fd01a2ef8222bf0ba7d5bb2a0109204ff076379eb94abf7d67d937,LA FLORIDA,Mazda,NEW MAZDA3 SP 2.0L 6MT VOLANTE CUERO,Incumbent,propio,7763922.544139506,563441.0,0.0725716925686367,0,Mid,2018,11,4
2011-05-31,d319df076aef90d57f8988fec65901731c2e3ec326ee61aae15e1fdc62c2e44f,LAS CONDES,Mazda,MAZDA3 SPORT 1.6L V AT,Incumbent,propio,9014664.023155851,478571.3125,0.05308809194338247,0,Premium,2011,5,2
2017-07-28,fd67cdb1622dd452cd4b11b60493c9596a75e9d1597c299fa87c0edf464b7273,PROVIDENCIA,Renault,CLIO IV 0.9 HB DYNAMIQUE E6 F2 MT T. RF,Incumbent,propio,9247754.59088474,453523.875,0.049041512784846836,0,Premium,2017,7,3
2021-12-31,43fb3829c1bef8b8347329fbee35f583cd7528b46a7e720cbb251e58463a1643,COPIAPO,Haval,HAVAL JOLION 1.5T MT 4X2 ACTIVE,Chinese,ces,10117432.221399592,601008.25,0.05940323956199033,0,Premium,2021,12,4
2018-11-29,15fd185f1b7f5fa951635c521285f9c794d4412153af4f60465a72dbacd4a1bf,LA FLORIDA,Suzuki,SWIFT 1.2 GL AC,Incumbent,propio,4989235.427938585,403390.4375,0.08085215527034567,0,Economy,2018,11,4
2016-12-30,a912a3337ac247e0280e4093bda107c14ab66dc8adeb529209813d12998830cf,RECOLETA,Great Wall,C30 1.5 COMFORT,Chinese,propio,5605894.253067666,409117.4375,0.07297987065598359,0,Economy,2016,12,4
2019-06-12,77c085a0365bbd0e382c6538a3ddd7ac8c78f4cee809f65e02d56ab21633cf15,TALCAHUANO,Mazda,NEW MAZDA2 SPORT V 1.5L 6MT 6 AIRBAGS,Incumbent,ces,8910448.923384972,540614.5,0.06067197114852291,0,Premium,2019,6,2
2020-12-28,517b1a97d323c2ac338b147fd3cea56a3a2143a6999539d0ab74818f6c475b2c,PUENTE ALTO,Changan,CX70 COMFORT MT,Chinese,ces,7757493.996305157,498327.09375,0.06423815396922639,0,Mid,2020,12,4
2019-04-17,081bc3b6b6acca5b23815aba5cab4c9f1f4265f3f27fba828d824aad204a22e3,VALPARAISO,Great Wall,WINGLE 5 G 2.2 4X2 ELITE,Chinese,ces,6298041.878092095,269300.0,0.042759321899202854,0,Mid,2019,4,2
2019-02-27,ad5a70d5004d970714cecd26a10e16c023fa34210ee0d4d07238002cd6a96a6d,LA CALERA,Haval,HAVAL H6 AT 2.0T 4X2 ELITE,Chinese,ces,10735706.663929256,528738.625,0.04925047242362733,0,Premium,2019,2,1
2021-05-28,f88c06a3c2724c1530e22436f89100771f484bc56beb700b2b2496c738311629,PUENTE ALTO,Haval,NEW H2 1.5T 4X2 ELITE,Chinese,propio,9719984.16001036,681205.75,0.0700830102998104,0,Premium,2021,5,2
2010-07-08,5f0b4220c8d67c24fc567f65392277d1e462fdd548c285c2900306919d56c028,SANTIAGO,Suzuki,JIMNY 1.3 JLX SPORT,Incumbent,propio,6157376.467606908,382689.09375,0.06215132301285678,0,Mid,2010,7,3
2014-08-30,416f49f0b0c882264ff5e1f243dcf191b5ba9abb21d2100a5554db84ccb483ac,LA SERENA,Suzuki,GRAND VITARA 2.4 GLX NAV,Incumbent,ces,8710561.274280217,572708.8125,0.065748784087088,0,Premium,2014,8,3
2019-06-28,30e2e0816ce76fbea03652ec74396d088363201978e5620cf54e100662e18a8e,HUASCO,Changan,CX70 LUXURY MT,Chinese,ces,7474946.672966994,656384.0,0.08781119501143742,0,Mid,2019,6,2
2020-09-07,dc0a6e9a1cbe18fd9a6c86aa6aa0458a55cd682fb422b0b6116d51011233fd61,PUDAHUEL,Suzuki,ERTIGA 1.5 GL,Incumbent,propio,9621755.144267185,509260.46875,0.052928022082689,0,Premium,2020,9,3
2018-08-31,7ef04d48036890ec9d57775d2caaec92f201d8210446897d586e0e3d5583f0aa,ANCUD,Suzuki,GRAND VITARA 1.6 GLX SPORT,Incumbent,ces,8408641.971237874,745546.25,0.0886642875924761,0,Mid,2018,8,3
2019-03-30,0c25a2dbd0842ce0ff53836a19f1aa990d3b9ccc69deb44f24f2bf640abc77b7,VINA DEL MAR,Mazda,NEW MAZDA3 SP 2.0L 6MT VOLANTE CUERO,Incumbent,ces,10510294.006498776,466700.375,0.044404121779222115,0,Premium,2019,3,1
2021-07-23,0bae5142e2c6497c4385640d58c0ff15c56892868983a0b60b1eebf2cab377f7,RECOLETA,Mazda,NEW BT-50 DC 2.2 SDX HIGH 6MT 4X4 DI,Incumbent,propio,19212790.460749045,1010382.125,0.052589035781354605,0,Premium,2021,7,3
2016-10-28,25b80c4007918254d13dd54b9d403aeae5d560b97b283a53b04d9259fef3f1e5,ANTOFAGASTA,Renault,CLIO IV 1.2 HB EXPRESSION E6 K MT,Incumbent,ces,8056163.999049866,520336.625,0.06458863363026968,0,Mid,2016,10,4
2012-04-18,a392fd70494cc7cadf27c1fc64fed1b6f3c193ba72e704542a96a97f69fe9ac7,RANCAGUA,Great Wall,HAVAL H3 2.0 4X2 LE +,Chinese,ces,6933194.788249059,557310.9375,0.08038299146658562,0,Mid,2012,4,2
2018-03-31,5bf249f4412a038ba38196dd668a0049a7cf0848497a34f6f7285483f21c01c1,PEDRO AGUIRRE CERDA,Mazda,NEW MAZDA3 SP 2.0L 6MT VOLANTE CUERO,Incumbent,propio,9693766.224702615,497089.71875,0.05127931778293423,0,Premium,2018,3,1
2013-11-23,f061edd6fc6aa0f663db80ca8e187c2e562963734a30a60ace25b8de910ac0d1,TALAGANTE,JAC Cars,SUNRAY 2.8 VAN LE LIMITED DIESEL,Chinese,propio,14433872.846514951,769622.5,0.053320581952183733,0,Premium,2013,11,4
2019-10-11,d9ef2121f166eef8b575b30a09656ad1d9c060124d3629c5e007c33d6ab825a7,CONCON,Mazda,ALL NEW MAZDA3 SP V 2.0 7G 6AT.,Incumbent,ces,11514479.946539767,131008.203125,0.011377691718015408,0,Premium,2019,10,4
2017-09-27,1244025357996e8a95db1b2e6422f63ee214b15cc9ca1283271aa4a35f88faef,VINA DEL MAR,Mazda,NEW MAZDA3 SDN S 1.6 5MT,Incumbent,ces,8087493.869118347,581949.625,0.07195673151878888,0,Mid,2017,9,3
2011-03-10,b11ca6ed02960d941b4c11c3b5eb8bb7199fb285c84e8760243b2a16d354d825,LAS CONDES,Renault,SANDERO 1.6 HB GT LINE,Incumbent,propio,5112214.448722878,-378400.0,-0.0740188041396681,1,Economy,2011,3,1
2019-03-29,91abae4ed37565e639db34067ccbe2d21333a251ee8a27aa54db8036415190d5,VINA DEL MAR,Mazda,ALL NEW CX-5 R 2.0L 2WD CA 6MT,Incumbent,ces,12307370.018522166,892922.1875,0.07255182757617452,0,Premium,2019,3,1
2018-10-26,10771bb67a1728e3dc3a85367c95c36a64a4fdb9ecb521b6e2d2e941b37bbcc9,TALCA,Suzuki,CIAZ SEDAN 1.4 GLX,Incumbent,ces,7038710.275772499,498084.28125,0.0707635719805693,0,Mid,2018,10,4
2021-09-27,d96dded47daeca15a991a8ca8da153874e1ea4421161b716dc40b73dcdb325ef,LOS ANDES,Changan,CX70 COMFORT MT,Chinese,ces,8066444.654641094,464579.875,0.05759413160204357,0,Mid,2021,9,3
2021-07-21,874fd5c726b83c0c53dbda8c4966a0f82c8435532e86161867bd7d5918bd3db2,PARRAL,JAC Cars,JS3 1.6 LUXURY,Chinese,ces,8962250.425071318,528641.875,0.05898539428458264,0,Premium,2021,7,3
2021-12-01,8a8f2d0b2cd70347431fc48a418fe451529a7ce78160feee173524bd80eab1b6,VITACURA,Suzuki,SWIFT 1.2 GL,Incumbent,propio,8627962.323109765,755630.25,0.08757922458424103,0,Premium,2021,12,4
2018-01-12,72d1e07ac115e0dcaba27d24747a93af3e30b925699d3f738d68e94dccd914ba,PUDAHUEL,Renault,"DUSTER ZEN TECH 2,0L 6MT 4X2",Incumbent,propio,8193836.700328816,479972.96875,0.05857731686680293,0,Mid,2018,1,1
2012-09-27,7dd4b2b8201aea85078c34ecf9a57c1f378cba930b7db0a527f6dd24955f9a78,OVALLE,Suzuki,CELERIO 1.0 GA,Incumbent,ces,3695276.395595249,315294.15625,0.08532356514003366,0,Economy,2012,9,3
2012-05-08,7bab89244f85dc3ff2ab8ebf5e7480f74c4cdaadf18be48e3cab8d166f1f51e4,SAN FERNANDO,Samsung,SM3 1.6 SEDAN SE 3,Incumbent,ces,5802841.857021567,463193.28125,0.07982179984614364,0,Economy,2012,5,2
2011-11-10,68c7d58b398c167f3d20f36bf09f8828310e5a9d969bf34170a36ee888ec4083,SAN MIGUEL,Samsung,SM3 1.6 SEDAN ENTRY DECO,Incumbent,propio,4395815.062564591,253875.234375,0.05775384786704039,0,Economy,2011,11,4
2013-05-18,b478d04c3464ec48513480cf7ff1be87de3e830bcf0442b6c1572b050d73c45e,CONCEPCION,Suzuki,SX4 1.6 AT CROSSOVER 4WD,Incumbent,ces,7281412.753938794,434937.03125,0.059732506032531385,0,Mid,2013,5,2
2020-05-20,8df1136f248ca7a8856d35c02a7e8848095f73581437032c5d71495e49103949,TALCA,Mazda,NEW MAZDA3 SP 2.0L 6MT VOLANTE CUERO,Incumbent,ces,9291042.468066854,687142.375,0.07395751094257678,0,Premium,2020,5,2
2013-11-07,64946272127af72e6339ab828c3c024a09580f7223bb26a9d0485019c290fb76,VINA DEL MAR,Suzuki,SWIFT SEDAN 1.2 GLA,Incumbent,ces,4578310.8598652985,92068.1171875,0.020109625581476744,0,Economy,2013,11,4
